id,Code,Transport,Longitude,Latitude,Station,District_Name,Neighborhood_Name
584,K001,Underground,2.100304,41.364232,METRO (L1) - RAMBLA JUST OLIVERAS-,,
585,K001,Underground,2.135849,41.375429,METRO (L5) - PLAÇA DE SANTS (C. de Sants)-,Sants-Montjuïc,Sants
586,K001,Underground,2.175568,41.429214,METRO (L5) - VIRREI AMAT (C. de Felip II)-,Nou Barris,Vilapicina i la Torre Llobeta
587,K001,Underground,2.15916,41.394887,METRO (L5) - DIAGONAL-,Eixample,la Dreta de l'Eixample
588,K001,Underground,2.147016,41.401372,FGC (L6) - SANT GERVASI-,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
589,K001,Underground,2.125112,41.39896,FGC (L6) - SARRIÀ-,Sarrià-Sant Gervasi,les Tres Torres
590,K001,Underground,2.19855,41.457253,METRO (L9) - CAN ZAM-,,
591,K001,Underground,2.169597,41.388111,METRO (L1) - CATALUNYA (Pg. de Gràcia)-,Eixample,la Dreta de l'Eixample
592,K011,Tram,2.114498,41.384459,"TRAMVIA (T1,T2,T3) - ZONA UNIVERSITÀRIA-",Les Corts,la Maternitat i Sant Ramon
593,K011,Tram,2.067057,41.379733,TRAMVIA (T3) - WALDEN-,,
594,K011,Tram,2.222906,41.415244,TRAMVIA (T4) - CAN LLIMA-,,
595,K011,Tram,2.19139,41.40443,TRAMVIA (T4) - CA L'ARANYÓ-,Sant Martí,el Parc i la Llacuna del Poblenou
596,K009,Funicular,2.168493,41.374747,Funicular MONTJUÏC - inferior-,Sants-Montjuïc,el Poble-sec
597,K001,Underground,2.176252,41.447394,METRO (L3) - ROQUETES-,Nou Barris,les Roquetes
598,K001,Underground,2.17602,41.446933,METRO (L3) - ROQUETES (Pla de Fornells)-,Nou Barris,les Roquetes
599,K001,Underground,2.17353,41.380666,METRO (L3) - LICEU-,Ciutat Vella,el Raval
600,K001,Underground,2.18472,41.4493,METRO (L3) - TRINITAT NOVA (Parc)-,Nou Barris,la Trinitat Nova
601,K001,Underground,2.197247,41.399257,METRO (L4) - LLACUNA-,Sant Martí,el Poblenou
602,K001,Underground,2.178458,41.443382,METRO (L4) - VIA JÚLIA (Via Júlia - Batllori)-,Nou Barris,la Prosperitat
603,K001,Underground,2.178906,41.443928,METRO (L4) - VIA JÚLIA-,Nou Barris,la Prosperitat
